year,country,wages_D11,surplus_B2,hh_consumption,gov_consumption,investment,imports
2012,ES,379255.0,343715.94983654603,645975.5590000001,204987.012,193834.99200000003,273296.603
2013,ES,368680.0,342331.71903262864,634184.549,202531.00900000002,180497.99599999998,283852.265
2014,ES,372621.0,345419.84763501503,646901.5000000001,202403.998,187322.002,294090.451
2015,ES,392024.0,356559.76578725746,666196.5169999999,209316.984,198929.99499999997,308267.962
2016,ES,400072.0,373809.04278571956,688643.419,211850.002,204286.98299999998,318119.87399999995
2017,ES,415343.0,388774.9346836168,724907.352,215797.99000000002,221206.982,342712.55299999996
2018,ES,432478.0,398917.9429920612,749060.342,223672.99499999997,238502.007,354986.381
2019,ES,456873.0,403562.8309678695,764822.4029999999,234126.99499999997,254565.99399999995,364479.09
2020,ES,433016.0,351649.7088342741,634716.834,245552.99600000004,232797.997,321572.754
2021,ES,469154.0,375678.68309385766,704795.771,259441.006,249560.01400000002,368531.99500000005
2022,ES,513562.0000000001,443949.11485582375,817165.483,275810.998,280382.0090000001,453808.39
2023,ES,555000.0,491910.63834981923,886305.351,294320.995,295317.995,465947.014
2010,AT,116408.99999999997,93783.75871405168,163729.719,60872.68000000001,64282.861,119690.057
2011,AT,120888.0,99171.28921711186,170900.804,62022.012,69976.595,132297.94199999998
2012,AT,125979.00000000006,99379.0055700473,175862.072,63674.762,72665.951,137537.315
2013,AT,129375.99999999997,99109.55357458499,179077.37,64960.027,74876.56099999999,138805.64
2014,AT,132658.0,102839.97366736323,182800.17400000003,66531.421,75817.732,142390.744
2015,AT,136903.00000000006,107318.00969886238,187426.264,68856.52900000001,78323.29800000001,145587.906
2016,AT,142227.0000000001,112464.0149475375,193669.252,71049.815,82948.00400000002,148748.91
2017,AT,147168.0000000001,116077.37393202553,201268.12799999997,72695.017,87584.943,160157.291
2018,AT,154310.00000000003,122006.70352019931,207777.388,75207.74299999999,93178.02300000002,172815.86299999998
2019,AT,161068.99999999988,124365.14055491952,213410.75,78029.44699999999,99243.689,178160.534
2020,AT,160657.00000000006,127764.56295692569,191774.488,81044.288,95590.059,163715.91400000002
2021,AT,168560.00000000006,135841.59523039995,200994.09,88623.179,105115.703,192371.337
2022,AT,182229.0,146266.12671242887,234794.5309999999,92346.74799999999,114126.20899999999,227329.53100000002
2023,AT,197350.99999999994,149393.47642687304,255017.233,98191.563,117839.312,228369.544
2010,PL,119725.0,99465.89544571422,227686.49699999997,69107.808,70772.00200000001,133340.91700000002
2011,PL,122951.00000000007,108994.15591510391,237507.7719999999,68612.81999999999,77419.06199999999,142840.87900000002
2012,PL,124584.00000000006,110020.41331605041,243661.644,69812.40699999999,75298.113,151342.175
2013,PL,126595.00000000006,112395.79324023156,243235.72799999994,71522.563,73357.226,157825.654
2014,PL,132643.00000000003,115915.97201278977,251483.814,74541.48000000001,81680.791,166157.43
2015,PL,137903.0000000001,126074.46038249855,260339.04400000002,77436.71399999999,87539.736,181539.578
2016,PL,140770.0,118584.64009715834,257030.33399999997,76215.381,78462.59300000001,184002.728
2017,PL,155693.0000000001,125738.3209956186,284616.7930000001,82400.97,81965.69100000002,208643.87699999998
2018,PL,169013.00000000006,132217.70936369695,301599.523,88038.46599999999,94519.748,225486.803
2019,PL,182595.00000000012,146871.2568393444,315658.475,95937.95099999999,103084.50600000001,242923.328
2020,PL,185023.00000000006,149906.29767995252,300955.55699999986,100181.161,97842.90499999988,244915.714
2021,PL,194886.00000000023,168402.73315957419,328373.996,107990.22,98690.067,291280.663
2022,PL,215793.99999999997,208281.9420141038,384945.3429999999,119896.49500000002,108760.14199999999,356814.357
2023,PL,252943.99999999997,229681.9675177292,433660.4310000001,142477.757,134605.44400000002,376277.349
2010,GR,63305.00000000006,67412.99743164763,156100.47400000002,50341.874,37608.038,38673.85100000001
2011,GR,58357.999999999985,61621.87750429937,149296.943,45008.068,28213.016000000003,40658.652
2012,GR,52371.00000000002,55899.67314566421,137393.923,42008.068,22827.517,42981.021
2013,GR,47986.0,54932.18616941864,132873.692,37364.919,20547.619000000002,40682.535
2014,GR,48837.00000000001,53478.06912096394,131320.27000000002,36668.007,19779.524,42587.143000000004
2015,GR,48273.99999999999,49615.35428649024,130849.01200000002,36484.115999999995,19572.417,41019.962999999996
2016,GR,49466.999999999985,47143.51445053871,129212.49799999999,36177.689999999995,19832.093999999997,39795.043000000005
2017,GR,49614.00000000001,47773.36532820363,134204.34200000003,36443.36099999999,21372.834000000003,45570.746
2018,GR,51229.000000000015,49303.31277096763,138621.171,35733.745,20465.640000000007,51845.97099999999
2019,GR,52928.000000000015,47345.08190521911,143897.519,37086.219999999994,20315.237999999998,53094.699
2020,GR,50761.99999999999,46389.79720043603,120799.082,38183.670999999995,20607.134,45464.672000000006
2021,GR,54595.0,50009.68186731275,134200.587,39796.11100000001,25455.678,60046.426999999996
2022,GR,58703.999999999985,62637.39921883176,160039.7799999999,41131.772,31042.498,78942.918
2023,GR,62329.00000000001,65505.44381829748,172313.34,43518.944,34152.12199999999,73384.53899999999
2010,NL,248856.0,213842.8255499685,295332.81500000006,168709.991,125003.994,269594.85699999996
2011,NL,254413.0,217016.9640137057,304802.81799999997,168827.00400000002,130753.0,298551.555
2012,NL,256068.0,215136.41196051316,305735.8599999999,171022.99999999997,122368.013,313193.116
2013,NL,256972.0,217418.2970155347,310707.87100000004,171367.00999999998,121128.00299999998,319709.44999999995
2014,NL,256876.0,219584.48937079118,316288.84599999996,173826.005,118012.00799999999,326688.204
2015,NL,262510.0,234135.418395362,324412.854,173810.99300000002,152467.993,387419.34199999995
2016,NL,271227.0,234034.7187758724,331792.814,176488.999,138951.99200000003,382175.82200000004
2017,NL,280321.0,246573.52858977954,347261.798,181469.988,148356.98799999998,415686.678
2018,NL,292965.0,255157.53593692093,363344.805,190649.007,157069.00600000002,448064.006
2019,NL,307182.0,267218.3496357273,377189.77700000006,202261.98399999997,173484.0,453749.26900000003
2020,NL,316627.0,263999.40611878387,353192.81099999987,209742.979,173693.9990000001,427349.993
2021,NL,330627.0,301431.38662262465,384133.8949999999,226370.98399999997,184424.998,500388.57999999996
2022,NL,351799.0,350259.599607967,445723.886,241898.005,203422.002,614787.175
2023,NL,380828.99999999994,373261.5143156156,482496.795,264090.991,214543.991,613085.1969999999
